"spkid","full_name","pdes","name","pha","H","G","diameter","albedo","rot_per","epoch_mjd","e","a","q","i","om","w","ma","ad","moid","moid_jup","t_jup","class"
2000433,"   433 Eros (A898 PA)",433,Eros,N,10.31,0.46,16.84,0.25,5.27,59800,0.2227,1.458,1.133,10.83,304.29,178.93,358.82,1.78,0.15,3.29,4.58,AMO
2000719,"   719 Albert (A911 TB)",719,Albert,N,15.59,,,,5.801,59800,0.5470,2.637,1.195,11.58,183.86,156.25,324.20,4.08,0.201,1.42,3.14,AMO
2000887,"   887 Alinda (A918 AA)",887,Alinda,N,13.83,-0.12,4.2,0.31,28.41,59800,0.5706,2.473,1.062,9.40,110.43,350.48,137.32,3.88,0.0824,1.32,3.22,AMO
2001036,"  1036 Ganymed (A924 UB)",1036,Ganymed,N,9.23,0.30,37.675,0.238,10.297,59800,0.5331,2.666,1.245,26.68,215.51,132.45,185.91,4.09,0.345,1.95,3.03,AMO
2001221,"  1221 Amor (1932 EA1)",1221,Amor,N,17.38,,1.0,,,59800,0.4359,1.919,1.083,11.88,171.32,26.63,335.22,2.76,0.107,2.21,3.78,AMO
2001566,"  1566 Icarus (1949 MA)",1566,Icarus,Y,16.51,,1.0,0.51,2.2726,59800,0.8269,1.078,0.187,22.80,87.96,31.44,176.44,1.97,0.034,3.22,5.3,APO
2001580,"  1580 Betulia (1950 KA)",1580,Betulia,N,14.73,0.00,5.8,0.08,6.1324,59800,0.4871,2.197,1.127,52.08,62.28,159.53,77.14,3.27,0.137,1.86,3.07,AMO
2001620,"  1620 Geographos (1951 RA)",1620,Geographos,Y,15.34,,2.56,0.290,5.22204,59800,0.3354,1.246,0.828,13.34,337.18,276.97,82.26,1.66,0.0301,3.45,5.07,APO
2001627,"  1627 Ivar (1929 SH)",1627,Ivar,N,12.76,0.60,9.12,0.15,4.795,59800,0.3966,1.863,1.124,8.45,133.12,167.81,206.52,2.60,0.112,2.65,3.88,AMO
2001685,"  1685 Toro (1948 OA)",1685,Toro,N,14.31,,3.4,0.31,10.1995,59800,0.4360,1.368,0.771,9.38,274.23,127.21,63.33,1.96,0.0502,3.48,4.71,APO
2001862,"  1862 Apollo (1932 HA)",1862,Apollo,Y,16.11,0.09,1.5,0.25,3.065,59800,0.5600,1.471,0.647,6.35,35.56,286.05,170.73,2.29,0.0258,3.07,4.41,APO
2001863,"  1863 Antinous (1948 EA)",1863,Antinous,N,15.44,,2.1,0.24,7.453,59800,0.6059,2.259,0.890,18.40,346.42,268.08,302.06,3.63,0.184,2.02,3.3,APO
2001864,"  1864 Daedalus (1971 FA)",1864,Daedalus,N,14.77,,3.7,0.273,8.572,59800,0.6145,1.461,0.563,22.22,6.61,325.66,307.73,2.36,0.269,3.12,4.34,APO
2001865,"  1865 Cerberus (1971 UA)",1865,Cerberus,N,16.79,,1.2,0.22,6.8039,59800,0.4670,1.08,0.576,16.10,212.89,325.28,345.84,1.58,0.157,3.4,5.59,APO
2001866,"  1866 Sisyphus (1972 XA)",1866,Sisyphus,N,12.45,,8.48,0.15,2.4,59800,0.5384,1.893,0.874,41.21,63.47,293.08,46.81,2.91,0.104,3.25,3.51,APO
2001915,"  1915 Quetzalcoatl (1953 EA)",1915,Quetzalcoatl,N,18.05,0.10,0.5,0.21,4.9,59800,0.5705,2.544,1.092,20.40,162.94,347.81,90.00,3.99,0.11,1.06,3.12,AMO
2001916,"  1916 Boreas (1953 RA)",1916,Boreas,N,14.95,,3.5,,3.4746,59800,0.4499,2.272,1.250,12.88,340.60,335.90,49.80,3.29,0.251,2.07,3.44,AMO
2001917,"  1917 Cuyo (1968 AA)",1917,Cuyo,N,14.36,,5.7,0.195,2.689,59800,0.5055,2.15,1.063,23.96,188.29,194.52,144.80,3.24,0.0729,2.25,3.43,AMO
2001943,"  1943 Anteros (1973 EC)",1943,Anteros,N,15.69,,2.3,0.17,2.86923,59800,0.2561,1.43,1.064,8.71,246.31,338.37,289.13,1.80,0.0626,3.19,4.64,AMO
2001980,"  1980 Tezcatlipoca (1950 LA)",1980,Tezcatlipoca,N,13.81,,4.3,0.25,7.24612,59800,0.3648,1.709,1.086,26.87,246.56,115.46,42.36,2.33,0.246,3.41,4,AMO
2001981,"  1981 Midas (1973 EA)",1981,Midas,Y,15.28,,3.4,,5.22,59800,0.6500,1.777,0.622,39.83,356.85,267.82,285.79,2.93,0.00503,3.31,3.61,APO
2002059,"  2059 Baboquivari (1963 UA)",2059,Baboquivari,N,15.98,,,,129.47,59800,0.5316,2.643,1.238,11.02,200.69,192.43,227.75,4.05,0.246,1.4,3.15,AMO
2002061,"  2061 Anza (1960 UA)",2061,Anza,N,16.48,,2.6,,6.712,59800,0.5361,2.264,1.050,3.80,207.37,157.04,52.01,3.48,0.0552,1.99,3.41,AMO
2002062,"  2062 Aten (1976 AA)",2062,Aten,N,17.11,,1.1,0.26,42.15,59800,0.1828,0.9669,0.790,18.93,108.54,148.05,228.79,1.14,0.115,3.92,6.18,ATE
2002063,"  2063 Bacchus (1977 HB)",2063,Bacchus,N,17.29,,1.024,0.203,14.904,59800,0.3494,1.078,0.701,9.43,33.07,55.37,258.14,1.45,0.0675,3.77,5.67,APO
2002100,"  2100 Ra-Shalom (1978 RA)",2100,Ra-Shalom,N,16.35,0.12,2.3,0.13,19.797,59800,0.4366,0.832,0.469,15.76,170.79,356.08,130.68,1.20,0.15,3.77,6.95,ATE
2002101,"  2101 Adonis (1936 CA)",2101,Adonis,Y,18.73,,0.6,,,59800,0.7643,1.874,0.442,1.32,349.48,43.62,283.47,3.31,0.0116,2.15,3.55,APO
2002102,"  2102 Tantalus (1975 YA)",2102,Tantalus,Y,15.97,,1.649,0.245,2.384,59800,0.2993,1.29,0.904,64.00,94.36,61.53,260.13,1.68,0.0443,3.76,4.45,APO
2002135,"  2135 Aristaeus (1977 HA)",2135,Aristaeus,Y,18.05,,,,,59800,0.5031,1.599,0.795,23.07,191.13,290.98,172.61,2.40,0.00998,2.95,4.13,APO
2002201,"  2201 Oljato (1947 XC)",2201,Oljato,Y,15.35,,1.80,0.4328,26,59800,0.7128,2.175,0.625,2.52,74.97,98.29,89.03,3.73,0.00307,1.24,3.3,APO
2002202,"  2202 Pele (1972 RA)",2202,Pele,N,17.14,,,,,59800,0.5126,2.291,1.117,8.74,169.93,217.92,128.55,3.47,0.145,2.02,3.4,AMO
2002212,"  2212 Hephaistos (1978 SB)",2212,Hephaistos,N,13.53,,5.7,0.163,48,59800,0.8373,2.16,0.351,11.54,27.51,209.41,297.44,3.97,0.116,1.16,3.1,APO
2002329,"  2329 Orthos (1976 WA)",2329,Orthos,N,14.56,,,,4.6473,59800,0.6539,2.409,0.834,24.48,169.27,146.08,115.22,3.98,0.0946,1.72,3.1,APO
2002340,"  2340 Hathor (1976 UA)",2340,Hathor,Y,20.32,,0.3,,3.35,59800,0.4499,0.8438,0.464,5.86,211.31,40.09,116.13,1.22,0.00682,3.81,6.88,ATE
2002368,"  2368 Beltrovata (1977 RA)",2368,Beltrovata,N,15.20,,2.3,0.27,5.9,59800,0.4133,2.105,1.235,5.22,287.32,43.09,260.44,2.98,0.233,2.42,3.62,AMO
2002608,"  2608 Seneca (1978 DA)",2608,Seneca,N,17.46,,0.9,0.21,8,59800,0.5707,2.519,1.081,14.67,167.33,37.44,77.52,3.96,0.135,1.13,3.17,AMO
2003102,"  3102 Krok (1981 QA)",3102,Krok,N,16.19,,1.6,,149.4,59800,0.4496,2.151,1.184,8.44,172.05,154.81,351.74,3.12,0.183,2.28,3.56,AMO
2003103,"  3103 Eger (1982 BB)",3103,Eger,N,15.25,,1.5,0.64,5.7103,59800,0.3542,1.404,0.907,20.93,129.75,254.08,190.19,1.90,0.0793,3.71,4.61,APO
2003122,"  3122 Florence (1981 ET3)",3122,Florence,Y,13.87,,4.9,0.231,2.3581,59800,0.4233,1.769,1.020,22.14,336.06,27.86,25.58,2.52,0.0442,3,3.92,AMO
2003199,"  3199 Nefertiti (1982 RA)",3199,Nefertiti,N,14.97,,2.2,0.42,3.021,59800,0.2841,1.575,1.127,32.96,339.99,53.39,39.91,2.02,0.216,3.62,4.19,AMO
2003200,"  3200 Phaethon (1983 TB)",3200,Phaethon,Y,14.40,,6.25,0.1066,3.604,59800,0.8898,1.271,0.140,22.26,265.22,322.18,59.00,2.40,0.0192,2.73,4.51,APO
2003271,"  3271 Ul (1982 RB)",3271,Ul,N,16.59,,,,,59800,0.3961,2.101,1.269,25.08,158.81,159.11,45.68,2.93,0.275,2.49,3.53,AMO
2003288,"  3288 Seleucus (1982 DV)",3288,Seleucus,N,15.35,,2.8,0.22,75,59800,0.4563,2.033,1.105,5.93,218.62,349.28,329.28,2.96,0.102,2,3.67,AMO
2003352,"  3352 McAuliffe (1981 CW)",3352,McAuliffe,N,15.95,,,,2.206,59800,0.3690,1.879,1.186,4.77,107.34,16.13,41.57,2.57,0.204,2.52,3.88,AMO
2003360,"  3360 Syrinx (1981 VA)",3360,Syrinx,N,16.05,,1.8,0.17,,59800,0.7458,2.467,0.627,21.15,242.50,63.54,206.13,4.31,0.107,1.78,2.96,APO
2003361,"  3361 Orpheus (1982 HR)",3361,Orpheus,Y,19.39,,0.3,0.357,3.5327,59800,0.3230,1.21,0.819,2.66,188.68,302.36,152.43,1.60,0.0141,3.45,5.21,APO
2003362,"  3362 Khufu (1984 QA)",3362,Khufu,Y,18.52,,0.7,0.21,,59800,0.4686,0.9895,0.526,9.92,152.43,55.05,278.85,1.45,0.0134,3.52,6.02,ATE
2003551,"  3551 Verenia (1983 RD)",3551,Verenia,N,16.71,,0.9,0.37,4.93,59800,0.4873,2.092,1.073,9.51,173.79,193.28,302.59,3.11,0.0743,2.35,3.58,AMO
2003552,"  3552 Don Quixote (1983 SA)",3552,"Don Quixote",N,13.07,,19.0,0.03,6.665,59800,0.7084,4.264,1.244,31.10,349.92,316.60,173.97,7.28,0.337,0.433,2.31,AMO
2003553,"  3553 Mera (1985 JA)",3553,Mera,N,16.46,,,,3.1944,59800,0.3201,1.645,1.118,36.78,232.49,288.92,275.76,2.17,0.295,3.18,4.02,AMO
2003554,"  3554 Amun (1986 EB)",3554,Amun,N,15.91,,3.341,0.074,2.53001,59800,0.2807,0.974,0.701,23.36,358.61,359.41,126.31,1.25,0.252,4.2,6.11,ATE
2003671,"  3671 Dionysus (1984 KD)",3671,Dionysus,Y,16.60,,1.5,0.16,2.7053,59800,0.5411,2.199,1.009,13.53,82.07,204.30,249.80,3.39,0.022,1.83,3.43,APO
2003691,"  3691 Bede (1982 FT)",3691,Bede,N,14.81,,4.3,0.515,226.8,59800,0.2841,1.774,1.270,20.36,348.74,234.89,11.69,2.28,0.352,2.83,3.98,AMO
2003752,"  3752 Camillo (1985 PA)",3752,Camillo,N,15.26,,2.306,0.210,37.846,59800,0.3015,1.414,0.987,55.56,147.96,312.22,259.63,1.84,0.0799,3.38,4.24,APO
2003753,"  3753 Cruithne (1986 TO)",3753,Cruithne,N,15.52,,2.071,0.365,27.3099,59800,0.5150,0.9978,0.484,19.80,126.21,43.87,237.63,1.51,0.0709,3.51,5.92,ATE
2003757,"  3757 Anagolay (1982 XB)",3757,Anagolay,Y,19.05,,0.5,0.18,9.012,59800,0.4455,1.835,1.017,3.87,74.93,17.22,336.45,2.65,0.0387,2.58,3.9,AMO
2003838,"  3838 Epona (1986 WA)",3838,Epona,N,15.73,,,,2.3812,59800,0.7024,1.505,0.448,29.20,235.48,49.73,158.67,2.56,0.16,2.88,4.13,APO
2003908,"  3908 Nyx (1980 PA)",3908,Nyx,N,17.46,,1.0,0.23,4.42601,59800,0.4593,1.928,1.042,2.19,261.21,126.62,231.09,2.81,0.0569,2.65,3.78,AMO
2003988,"  3988 Huma (1986 LA)",3988,Huma,N,17.95,,0.7,,10.4,59800,0.3166,1.545,1.056,10.77,229.79,86.94,265.53,2.03,0.178,3.31,4.38,AMO
2004015,"  4015 Wilson-Harrington (1979 VA)",4015,Wilson-Harrington,Y,16.23,,4,0.05,3.5736,59800,0.6318,2.625,0.967,2.80,266.78,95.44,356.37,4.28,0.0427,1.23,3.08,APO
2004034,"  4034 Vishnu (1986 PA)",4034,Vishnu,Y,18.54,,0.42,0.52,44.4,59800,0.4440,1.06,0.589,11.17,157.90,296.71,257.47,1.53,0.0195,3.69,5.7,APO
2004055,"  4055 Magellan (1985 DO2)",4055,Magellan,N,14.74,,2.49,0.31,7.475,59800,0.3261,1.82,1.227,23.26,164.82,154.43,306.17,2.41,0.239,3.01,3.89,AMO
2004179,"  4179 Toutatis (1989 AC)",4179,Toutatis,Y,15.32,0.10,5.4,0.405,176.,59800,0.6245,2.545,0.956,0.45,125.26,277.93,145.46,4.13,0.0066,1.29,3.14,APO
2004183,"  4183 Cuno (1959 LM)",4183,Cuno,Y,14.23,,3.651,0.097,3.5595,59800,0.6359,1.982,0.722,6.67,294.43,236.92,253.18,3.24,0.0278,1.79,3.57,APO
2004197,"  4197 Morpheus (1982 TA)",4197,Morpheus,N,15.03,,1.8,0.37,3.538,59800,0.7724,2.294,0.522,12.60,7.01,122.57,130.15,4.07,0.0985,1.27,3.09,APO
2004257,"  4257 Ubasti (1987 QA)",4257,Ubasti,N,16.07,,,,4.4,59800,0.4682,1.647,0.876,40.72,169.16,278.94,147.93,2.42,0.171,3.37,3.91,APO
2004341,"  4341 Poseidon (1987 KF)",4341,Poseidon,N,16.09,,3.177,0.054,6.262,59800,0.6800,1.834,0.587,11.84,108.04,15.85,86.49,3.08,0.194,2.03,3.69,APO
2004401,"  4401 Aditi (1985 TB)",4401,Aditi,N,16.09,,1.801,0.343,6.67,59800,0.5633,2.583,1.128,26.63,22.79,68.13,303.69,4.04,0.335,2.24,3.06,AMO
2004450,"  4450 Pan (1987 SY)",4450,Pan,Y,17.27,,,,56.48,59800,0.5865,1.442,0.596,5.52,311.80,291.83,96.97,2.29,0.0287,2.76,4.46,APO
2004486,"  4486 Mithra (1987 SB)",4486,Mithra,Y,15.68,,1.849,0.297,67.5,59800,0.6625,2.2,0.743,3.04,82.24,168.90,275.70,3.66,0.0462,1.4,3.34,APO
2004487,"  4487 Pocahontas (1987 UA)",4487,Pocahontas,N,17.49,,,,,59800,0.2966,1.73,1.217,16.41,198.11,173.96,109.51,2.24,0.22,3.23,4.06,AMO
2004503,"  4503 Cleobulus (1989 WM)",4503,Cleobulus,N,15.82,,,,2.8164,59800,0.5242,2.704,1.287,2.51,45.96,76.26,110.33,4.12,0.308,0.998,3.15,AMO
2004544,"  4544 Xanthus (1989 FB)",4544,Xanthus,N,17.41,,1.3,,37.65,59800,0.2502,1.042,0.781,14.14,23.96,333.87,333.09,1.30,0.173,4.15,5.83,APO
2004581,"  4581 Asclepius (1989 FC)",4581,Asclepius,Y,20.74,,,,8.008,59800,0.3570,1.023,0.658,4.92,180.21,255.36,169.65,1.39,0.00328,3.88,5.91,APO
2004596,"  4596 (1981 QB)",4596,,N,16.29,,,,2.49101,59800,0.5199,2.24,1.075,37.08,154.23,248.36,55.04,3.40,0.297,2.88,3.22,AMO
2004660,"  4660 Nereus (1982 DB)",4660,Nereus,Y,18.67,,0.33,0.55,15.1,59800,0.3588,1.485,0.952,1.45,313.14,159.53,116.27,2.02,0.00373,3.1,4.5,APO
2004688,"  4688 (1980 WF)",4688,,N,19.60,,0.6,0.18,,59800,0.5177,2.232,1.077,6.38,241.23,213.83,168.89,3.39,0.109,1.86,3.44,AMO
2004769,"  4769 Castalia (1989 PB)",4769,Castalia,Y,17.53,,1.4,0.092,4.095,59800,0.4831,1.063,0.550,8.89,325.53,121.41,324.82,1.58,0.0205,3.67,5.68,APO
2004947,"  4947 Ninkasi (1988 TJ1)",4947,Ninkasi,N,18.08,,,,21.1,59800,0.1684,1.37,1.139,15.65,215.43,192.91,12.93,1.60,0.151,3.77,4.77,AMO
2004953,"  4953 (1990 MU)",4953,,Y,14.91,,,,14.218,59800,0.6574,1.622,0.556,24.37,77.55,77.92,263.05,2.69,0.0255,2.73,3.98,APO
2004954,"  4954 Eric (1990 SQ)",4954,Eric,N,12.59,,10.8,0.176,12.056,59800,0.4491,2.002,1.103,17.43,358.42,52.56,69.52,2.90,0.195,2.7,3.66,AMO
2004957,"  4957 Brucemurray (1990 XJ)",4957,Brucemurray,N,14.93,,3.499,0.132,2.892,59800,0.2189,1.565,1.223,35.01,254.89,97.47,107.93,1.91,0.426,3.6,4.2,AMO
2005011,"  5011 Ptah (6743 P-L)",5011,Ptah,Y,16.71,,,,56.3,59800,0.5002,1.636,0.818,7.41,10.64,105.96,156.83,2.45,0.0248,2.69,4.14,APO
2005131,"  5131 (1990 BG)",5131,,N,14.86,,,,37.2,59800,0.5690,1.486,0.641,36.43,110.38,135.83,282.87,2.33,0.274,3.03,4.21,APO
2005143,"  5143 Heracles (1991 VL)",5143,Heracles,N,14.13,,4.843,0.227,2.7063,59800,0.7724,1.834,0.417,9.03,309.48,227.82,88.41,3.25,0.0582,1.8,3.58,APO
2005189,"  5189 (1990 UQ)",5189,,Y,17.85,,,,6.653,59800,0.4781,1.552,0.810,3.58,135.07,159.95,209.71,2.29,0.0447,2.93,4.31,APO
2005324,"  5324 Lyapunov (1987 SL)",5324,Lyapunov,N,15.45,,,,,59800,0.6048,2.985,1.180,19.62,352.25,321.13,308.90,4.79,0.23,1,2.88,AMO
2005332,"  5332 Davidaguilar (1990 DA)",5332,Davidaguilar,N,14.87,,3.6,,5.803,59800,0.4552,2.164,1.179,25.52,142.79,306.06,91.76,3.15,0.308,2.37,3.44,AMO
2005370,"  5370 Taranis (1986 RA)",5370,Taranis,N,15.24,,3.6,0.037,,59800,0.6371,3.322,1.206,19.17,177.80,161.34,320.40,5.44,0.214,0.376,2.73,AMO
2005381,"  5381 Sekhmet (1991 JY)",5381,Sekhmet,N,16.75,,0.935,0.507,2.8233,59800,0.2963,0.9475,0.667,48.97,58.53,37.43,64.16,1.23,0.113,4.16,6.03,ATE
2005496,"  5496 (1973 NA)",5496,,N,16.15,,,,2.855,59800,0.6353,2.436,0.888,68.00,101.05,118.01,347.86,3.98,0.0921,2.67,2.53,APO
2005587,"  5587 (1990 SB)",5587,,N,13.91,,3.57,0.32,5.0522,59800,0.5442,2.398,1.093,18.09,189.92,86.83,251.71,3.70,0.308,1.97,3.25,AMO
2005590,"  5590 (1990 VA)",5590,,N,19.91,,,,,59800,0.2795,0.9857,0.710,14.19,216.28,34.49,300.12,1.26,0.122,3.76,6.09,ATE
2005604,"  5604 (1992 FE)",5604,,Y,17.39,,0.55,0.48,5.3375,59800,0.4061,0.9286,0.552,4.72,311.90,82.65,108.78,1.31,0.0333,4.13,6.37,ATE
2005620,"  5620 Jasonwheeler (1990 OA)",5620,Jasonwheeler,N,17.14,,,,5.307,59800,0.4224,2.16,1.248,7.87,128.67,153.83,43.38,3.07,0.239,2.12,3.57,AMO
2005626,"  5626 Melissabrucker (1991 FE)",5626,Melissabrucker,N,14.37,,,,2.48611,59800,0.4548,2.194,1.196,3.85,173.11,231.82,317.61,3.19,0.213,2.23,3.52,AMO
2005645,"  5645 (1990 SP)",5645,,N,17.21,,1.668,0.121,30.39,59800,0.3871,1.355,0.830,13.51,45.71,48.27,24.37,1.88,0.0532,3.38,4.76,APO
2005646,"  5646 (1990 TR)",5646,,N,15.51,,4.3,0.223,3.1999,59800,0.4362,2.143,1.208,7.91,14.10,335.74,63.78,3.08,0.211,2.37,3.57,AMO
2005653,"  5653 Camarillo (1992 WD5)",5653,Camarillo,N,16.27,,1.537,0.271,4.834,59800,0.3046,1.794,1.247,6.88,9.89,122.67,95.79,2.34,0.283,2.72,4.01,AMO
2005660,"  5660 (1974 MA)",5660,,N,15.52,,,,17.5,59800,0.7619,1.786,0.425,38.12,302.16,127.00,27.60,3.15,0.162,2.84,3.51,APO
2005693,"  5693 (1993 EA)",5693,,Y,16.75,,,,2.496,59800,0.5853,1.271,0.527,5.06,96.99,258.96,12.60,2.01,0.00562,3.44,4.89,APO
2005731,"  5731 Zeus (1988 VP4)",5731,Zeus,N,15.64,,5.231,0.031,,59800,0.6520,2.267,0.789,11.20,280.63,218.39,295.20,3.75,0.0633,1.43,3.28,APO
2005751,"  5751 Zao (1992 AC)",5751,Zao,N,14.91,,2.3,0.36,76,59800,0.4252,2.102,1.208,16.07,121.64,25.51,355.44,3.00,0.242,2.07,3.58,AMO
2005786,"  5786 Talos (1991 RC)",5786,Talos,N,17.22,,,,23.6,59800,0.8270,1.081,0.187,23.24,161.30,8.37,296.46,1.98,0.189,3,5.28,APO
2005797,"  5797 Bivoj (1980 AA)",5797,Bivoj,N,18.89,,0.4,,2.706,59800,0.4443,1.893,1.052,4.19,298.93,168.66,126.70,2.73,0.0715,2.42,3.83,AMO
2005828,"  5828 (1991 AM)",5828,,N,16.04,,1.457,0.331,2.6666,59800,0.6950,1.698,0.518,30.12,125.42,152.78,61.15,2.88,0.398,2.46,3.77,APO
2005836,"  5836 (1993 MF)",5836,,N,15.00,,2.754,0.156,4.9543,59800,0.5366,2.441,1.131,7.95,238.74,78.04,212.87,3.75,0.184,1.71,3.28,AMO
2005863,"  5863 Tara (1983 RB)",5863,Tara,N,15.85,,1.345,0.488,5.867,59800,0.5055,2.223,1.099,19.49,168.89,115.52,288.95,3.35,0.236,2.25,3.4,AMO
2005869,"  5869 Tanith (1988 VN4)",5869,Tanith,N,17.29,,,,17.519,59800,0.3212,1.812,1.230,17.92,227.86,230.82,269.24,2.39,0.311,2.95,3.94,AMO
2005879,"  5879 Almeria (1992 CH1)",5879,Almeria,N,17.66,,,,21.967,59800,0.2890,1.625,1.155,21.57,145.84,355.78,262.31,2.09,0.17,2.93,4.2,AMO
2006037,"  6037 (1988 EG)",6037,,Y,19.00,,,,2.7602,59800,0.4995,1.271,0.636,3.50,182.36,242.18,59.68,1.91,0.0242,3.44,4.95,APO
2006047,"  6047 (1991 TB1)",6047,,N,17.84,,,,,59800,0.3522,1.454,0.942,23.48,6.08,103.82,152.92,1.97,0.141,3.31,4.49,APO
2006050,"  6050 Miwablock (1992 AE)",6050,Miwablock,N,15.00,,2.884,0.257,5.7566,59800,0.4371,2.203,1.240,6.40,88.18,284.98,152.03,3.17,0.269,2.33,3.52,AMO
2006053,"  6053 (1993 BW3)",6053,,N,14.92,,3.720,0.140,2.573,59800,0.5285,2.147,1.012,21.58,318.25,74.89,191.43,3.28,0.222,2.69,3.44,APO
2006063,"  6063 Jason (1984 KB)",6063,Jason,N,16.04,,1.4,0.21,48.6,59800,0.7633,2.22,0.526,4.96,169.06,337.63,221.67,3.91,0.0761,1.13,3.19,APO
2006178,"  6178 (1986 DA)",6178,,N,15.77,,2.3,0.15,3.5002,59800,0.5837,2.817,1.173,4.31,64.51,127.39,247.92,4.46,0.184,0.52,3.04,AMO
2006239,"  6239 Minos (1989 QF)",6239,Minos,Y,18.57,,,,3.5558,59800,0.4127,1.151,0.676,3.94,344.57,239.69,306.04,1.63,0.0263,3.36,5.38,APO
2006455,"  6455 (1992 HE)",6455,,N,14.00,,4.626,0.227,2.7361,59800,0.5723,2.241,0.958,37.34,26.90,262.82,354.84,3.52,0.291,2.84,3.18,APO
2006456,"  6456 Golombek (1992 OM)",6456,Golombek,N,16.00,,,,2.50129,59800,0.4094,2.192,1.295,8.23,313.57,347.14,92.14,3.09,0.281,2.17,3.55,AMO
2006489,"  6489 Golevka (1991 JX)",6489,Golevka,Y,19.22,,0.53,0.151,6.026,59800,0.6124,2.486,0.963,2.27,209.48,68.67,310.84,4.01,0.025,1.17,3.19,APO
2006491,"  6491 (1991 OA)",6491,,Y,18.74,,,,2.69,59800,0.5904,2.501,1.025,5.95,301.90,323.64,303.71,3.98,0.043,1.18,3.19,AMO
2006569,"  6569 Ondaatje (1993 MO)",6569,Ondaatje,N,16.68,,,,5.295,59800,0.2206,1.626,1.267,22.64,111.48,167.34,8.79,1.98,0.255,3.18,4.21,AMO
2006611,"  6611 (1993 VW)",6611,,N,16.91,,1.408,0.158,2.5568,59800,0.4847,1.696,0.874,8.70,230.77,281.63,317.99,2.52,0.0604,2.55,4.05,APO
2007025,"  7025 (1993 QA)",7025,,N,18.10,,0.498,0.340,2.5057,59800,0.3149,1.476,1.011,12.61,146.61,323.45,294.93,1.94,0.0643,3.19,4.51,APO
2007088,"  7088 Ishtar (1992 AA)",7088,Ishtar,N,16.84,,1.298,0.260,2.679,59800,0.3898,1.981,1.209,8.30,102.62,354.76,349.05,2.75,0.227,2.45,3.75,AMO
2007092,"  7092 Cadmus (1992 LC)",7092,Cadmus,N,15.13,,6.319,0.046,,59800,0.6953,2.542,0.775,17.77,56.92,94.69,196.25,4.31,0.0987,1.5,3,APO
2007236,"  7236 (1987 PA)",7236,,N,18.30,,,,,59800,0.5591,2.725,1.201,16.33,308.51,337.93,291.82,4.25,0.202,1.07,3.06,AMO
2007335,"  7335 (1989 JA)",7335,,Y,17.76,,1.8,0.448,12,59800,0.4846,1.772,0.913,15.17,61.28,232.32,14.77,2.63,0.0223,2.67,3.92,APO
2007336,"  7336 Saunders (1989 RS1)",7336,Saunders,N,18.80,,,,4.307,59800,0.4817,2.306,1.195,7.20,174.47,181.50,140.67,3.42,0.191,2.04,3.41,AMO
2007341,"  7341 (1991 VK)",7341,,Y,16.97,,0.982,0.235,4.2096,59800,0.5059,1.841,0.910,5.41,294.74,173.50,82.25,2.77,0.047,2.39,3.85,APO
2007350,"  7350 (1993 VA)",7350,,N,17.29,,1.921,0.069,3.58264,59800,0.3910,1.356,0.826,7.26,133.11,336.67,44.38,1.89,0.0801,3.25,4.77,APO
2007358,"  7358 Oze (1995 YA3)",7358,Oze,N,14.76,,,,5.433,59800,0.5023,2.199,1.094,4.66,265.46,92.23,110.03,3.30,0.124,2.19,3.49,AMO
2007474,"  7474 (1992 TC)",7474,,N,18.00,,,,5.54,59800,0.2923,1.566,1.108,7.09,88.61,275.62,87.09,2.02,0.168,3.45,4.37,AMO
2007480,"  7480 Norwan (1994 PC)",7480,Norwan,N,17.23,,,,35.9,59800,0.3170,1.568,1.071,9.45,124.38,256.83,56.57,2.06,0.161,3.43,4.35,AMO
2007482,"  7482 (1994 PC1)",7482,,Y,16.65,,1.052,0.277,2.5999,59800,0.3295,1.349,0.904,33.47,117.87,47.48,103.13,1.79,0.000769,3.37,4.66,APO
2007753,"  7753 (1988 XB)",7753,,Y,18.02,,,,42.2,59800,0.4817,1.467,0.760,3.12,73.39,280.06,12.16,2.17,0.0067,3.27,4.48,APO
2007822,"  7822 (1991 CS)",7822,,Y,17.31,,1.602,0.075,2.3896,59800,0.1646,1.123,0.938,37.12,156.85,249.45,239.53,1.31,0.0225,3.96,5.37,APO
2007839,"  7839 (1994 ND)",7839,,N,17.80,,0.784,0.181,,59800,0.5187,2.166,1.042,27.11,102.52,228.33,280.43,3.29,0.136,2.36,3.38,AMO
2007888,"  7888 (1993 UC)",7888,,N,15.19,,2.298,0.257,2.337,59800,0.6635,2.436,0.820,26.09,165.90,323.06,176.80,4.05,0.0864,1.46,3.06,APO
2007889,"  7889 (1994 LX)",7889,,N,15.16,,1.680,0.452,2.741,59800,0.3463,1.262,0.825,36.91,111.27,349.18,140.64,1.70,0.153,3.47,4.86,APO
2007977,"  7977 (1977 QQ5)",7977,,N,15.17,,,,7.456,59800,0.4662,2.226,1.188,25.16,134.15,248.06,175.94,3.26,0.356,2.65,3.38,AMO
2008013,"  8013 Gordonmoore (1990 KA)",8013,Gordonmoore,N,17.10,,2.3,,8.4,59800,0.4313,2.2,1.251,7.57,105.56,146.74,309.81,3.15,0.248,1.93,3.53,AMO
2008014,"  8014 (1990 MF)",8014,,Y,18.88,,0.7,,50.09,59800,0.4562,1.747,0.950,1.87,209.84,114.76,309.97,2.54,0.0169,2.81,4.01,APO
