"spkid","full_name","pdes","name","pha","H","G","diameter","albedo","rot_per","epoch_mjd","e","a","q","i","om","w","ma","ad","moid","moid_jup","t_jup","class"
3802007,"       (2018 FY1)","2018 FY1",,N,19.30,,,,,59800,0.6180,2.699,1.031,22.11,13.48,253.13,336.94,4.37,0.246,1.77,2.98,AMO
3802008,"       (2018 FZ1)","2018 FZ1",,N,20.90,,,,,59800,0.4375,2.169,1.220,4.00,41.49,53.20,172.11,3.12,0.245,2.11,3.56,AMO
3802005,"       (2018 FA2)","2018 FA2",,N,26.90,,,,,58196,0.5587,2.285,1.008,3.50,176.27,22.16,355.13,3.56,0.0198,1.4,3.37,APO
3802006,"       (2018 FB2)","2018 FB2",,N,25.60,,,,,59800,0.1989,1.136,0.910,5.42,357.25,258.62,169.66,1.36,0.0238,3.67,5.49,APO
3802009,"       (2018 FC2)","2018 FC2",,N,24.70,,,,,59800,0.5602,2.209,0.972,14.30,178.32,333.29,128.80,3.45,0.0136,1.63,3.4,APO
3802011,"       (2018 FD2)","2018 FD2",,N,26.80,,,,,59800,0.3967,1.122,0.677,14.74,177.02,261.64,302.91,1.57,0.00508,3.76,5.46,APO
3802014,"       (2018 FE2)","2018 FE2",,N,22.80,,,,,59800,0.4279,1.785,1.021,12.40,165.89,332.21,319.39,2.55,0.0587,2.51,3.95,AMO
3802018,"       (2018 FF2)","2018 FF2",,N,21.60,,,,,59800,0.3078,1.446,1.001,25.09,12.54,241.16,148.40,1.89,0.121,3.27,4.51,APO
3802015,"       (2018 FG2)","2018 FG2",,N,24.70,,,,,58196,0.2275,1.269,0.980,23.03,172.67,47.90,332.29,1.56,0.0464,3.46,4.99,APO
3802017,"       (2018 FH2)","2018 FH2",,N,23.80,,,,,59800,0.3448,1.628,1.067,16.93,5.43,138.59,54.99,2.19,0.126,2.86,4.2,AMO
3802016,"       (2018 FJ2)","2018 FJ2",,N,24.50,,,,,58206,0.1348,1.277,1.105,22.41,174.28,10.70,2.40,1.45,0.113,3.51,4.98,AMO
3802013,"       (2018 FK2)","2018 FK2",,N,23.90,,,,,58196,0.3088,1.669,1.153,30.21,358.96,210.59,343.41,2.18,0.19,2.85,4.05,AMO
3802019,"       (2018 FL2)","2018 FL2",,N,25.50,,,,,58197,0.6797,2.228,0.714,0.64,251.96,1.56,346.17,3.74,0.0106,1.33,3.29,APO
3802020,"       (2018 FM2)","2018 FM2",,N,26.60,,,,,59800,0.0947,0.9419,0.853,1.16,143.06,191.92,135.07,1.03,0.0142,4.07,6.37,ATE
3802030,"       (2018 FU2)","2018 FU2",,N,26.70,,,,,58195,0.5789,2.142,0.902,5.42,357.47,126.66,12.80,3.38,0.0186,1.74,3.47,APO
3802034,"       (2018 FV2)","2018 FV2",,N,24.80,,,,,58196,0.2416,1.555,1.179,10.94,178.80,346.57,7.86,1.93,0.188,3.05,4.39,AMO
3802035,"       (2018 FW2)","2018 FW2",,N,24.90,,,,,59800,0.5562,2.601,1.154,1.91,188.98,6.46,13.31,4.05,0.154,0.908,3.17,AMO
3802031,"       (2018 FX2)","2018 FX2",,N,20.10,,,,,58193,0.3588,1.761,1.129,32.24,167.47,248.37,78.79,2.39,0.301,3.41,3.87,AMO
3802032,"       (2018 FY2)","2018 FY2",,N,25.20,,,,,58197,0.7458,2.526,0.642,1.31,51.87,35.88,13.19,4.41,0.0162,0.855,2.99,APO
3802033,"       (2018 FZ2)","2018 FZ2",,N,24.30,,,,,59800,0.3450,1.083,0.710,3.46,163.04,258.85,38.58,1.46,0.00545,3.87,5.66,APO
3802037,"       (2018 FA3)","2018 FA3",,N,22.80,,,,,59800,0.2476,1.081,0.813,7.79,17.44,0.20,119.94,1.35,0.13,4.12,5.69,APO
3802036,"       (2018 FB3)","2018 FB3",,N,25.20,,,,,58192,0.6641,2.406,0.808,5.08,348.73,253.82,347.06,4.00,0.0232,1.12,3.17,APO
3802038,"       (2018 FC3)","2018 FC3",,N,27.50,,,,,58197,0.5637,1.842,0.804,9.09,179.52,66.97,341.48,2.88,0.0115,2.21,3.79,APO
3802039,"       (2018 FD3)","2018 FD3",,N,22.30,,,,,59800,0.4410,2.268,1.268,3.39,177.17,4.58,102.42,3.27,0.272,1.69,3.48,AMO
3802041,"       (2018 FE3)","2018 FE3",,N,27.20,,,,,59800,0.2093,0.8848,0.700,6.88,176.88,225.03,216.24,1.07,0.000689,4.21,6.68,ATE
3802040,"       (2018 FF3)","2018 FF3",,N,26.60,,,,,59800,0.3429,1.401,0.921,16.46,1.92,226.30,207.98,1.88,0.00348,3.15,4.65,APO
3802050,"       (2018 FK3)","2018 FK3",,N,22.10,,,,,58198,0.3667,1.645,1.042,38.82,174.53,88.09,312.67,2.25,0.343,3.3,3.98,AMO
3802051,"       (2018 FL3)","2018 FL3",,N,20.43,,,,,59800,0.3941,2.037,1.234,39.03,184.71,11.53,178.53,2.84,0.243,2.13,3.45,AMO
3802052,"       (2018 FM3)","2018 FM3",,N,27.20,,,,,59800,0.0898,1.014,0.923,4.56,181.70,255.74,200.51,1.10,0.0142,3.97,6.01,APO
