"spkid","full_name","name","prefix","epoch_mjd","a","e","i","om","w","ma","H","G","diameter","albedo","rot_per","q","moid"
3837791,"       (2019 AZ8)",,,58498,1.984,0.5224,5.25,311.95,200.03,349.64,25.80,,,,,0.947,0.0096
3837792,"       (2019 AA9)",,,59800,1.692,0.7149,40.87,110.09,113.19,195.22,20.20,,,,,0.482,0.0953
3837789,"       (2019 AB9)",,,59800,1.402,0.2111,13.84,313.94,158.71,54.37,24.50,,,,,1.106,0.132
3837793,"       (2019 AC9)",,,59800,1.161,0.3316,6.77,109.43,83.37,261.07,25.70,,,,,0.776,0.00477
3837787,"       (2019 AD9)",,,58493,1.306,0.2355,9.62,107.09,277.55,57.60,23.91,,,,,0.998,0.126
3837799,"       (2019 AE9)",,,59800,2.223,0.6628,16.70,111.79,65.81,15.86,27.20,,,,,0.750,0.000932
3837800,"       (2019 AP9)",,,58498,2.01,0.7305,18.66,132.06,182.58,31.37,19.60,,,,,0.542,0.317
3837803,"       (2019 AQ9)",,,59800,1.682,0.5771,7.02,292.83,283.61,193.60,22.30,,,,,0.711,0.00687
3837801,"       (2019 AR9)",,,59800,1.678,0.3336,23.96,123.49,258.50,289.34,21.70,,,,,1.118,0.301
3837804,"       (2019 AS9)",,,59800,1.412,0.0803,37.05,131.12,169.53,234.99,21.01,,,,,1.299,0.286
3837802,"       (2019 AT9)",,,59800,2.028,0.5262,6.33,298.15,239.90,65.57,24.20,,,,,0.961,0.0584
3837805,"       (2019 AU9)",,,59800,1.122,0.1610,4.81,115.34,50.99,322.47,26.70,,,,,0.941,0.0058
3837806,"       (2019 AV9)",,,59800,1.927,0.7133,17.28,284.89,316.99,92.55,20.70,,,,,0.552,0.2
3837817,"       (2019 AY9)",,,59800,1.296,0.4625,11.98,143.85,226.42,209.75,21.25,,,,,0.697,0.133
3837818,"       (2019 AZ9)",,,58496,1.365,0.2780,20.64,284.89,151.54,19.26,25.00,,,,,0.986,0.0277
3837819,"       (2019 AA10)",,,59800,1.825,0.4762,11.96,122.41,30.08,147.47,25.60,,,,,0.956,0.0127
3837821,"       (2019 AG10)",,,58494,1.712,0.2518,4.06,296.08,175.12,358.70,24.10,,,,,1.281,0.298
3837822,"       (2019 AH10)",,,58497,1.045,0.3506,21.33,301.73,46.67,84.57,22.60,,,,,0.679,0.15
3837823,"       (2019 AJ10)",,,58495,2.268,0.4863,35.94,287.28,188.86,0.77,21.60,,,,,1.165,0.186
3837820,"       (2019 AK10)",,,58496,1.129,0.5760,42.57,302.90,32.34,62.33,20.80,,,,,0.479,0.308
