"spkid","full_name","name","prefix","epoch_mjd","a","e","i","om","w","ma","H","G","diameter","albedo","rot_per","q","moid"
2000433,"   433 Eros (A898 PA)",Eros,,59800,1.458,0.2227,10.83,304.29,178.93,358.82,10.31,0.46,16.84,0.25,5.27,1.133,0.15
2000719,"   719 Albert (A911 TB)",Albert,,59800,2.637,0.5470,11.58,183.86,156.25,324.20,15.59,,,,5.801,1.195,0.201
2000887,"   887 Alinda (A918 AA)",Alinda,,59800,2.473,0.5706,9.40,110.43,350.48,137.32,13.83,-0.12,4.2,0.31,28.41,1.062,0.0824
2001036,"  1036 Ganymed (A924 UB)",Ganymed,,59800,2.666,0.5331,26.68,215.51,132.45,185.91,9.23,0.30,37.675,0.238,10.297,1.245,0.345
2001221,"  1221 Amor (1932 EA1)",Amor,,59800,1.919,0.4359,11.88,171.32,26.63,335.22,17.38,,1.0,,,1.083,0.107
2001566,"  1566 Icarus (1949 MA)",Icarus,,59800,1.078,0.8269,22.80,87.96,31.44,176.44,16.51,,1.0,0.51,2.2726,0.187,0.034
2001580,"  1580 Betulia (1950 KA)",Betulia,,59800,2.197,0.4871,52.08,62.28,159.53,77.14,14.73,0.00,5.8,0.08,6.1324,1.127,0.137
2001620,"  1620 Geographos (1951 RA)",Geographos,,59800,1.246,0.3354,13.34,337.18,276.97,82.26,15.34,,2.56,0.290,5.22204,0.828,0.0301
2001627,"  1627 Ivar (1929 SH)",Ivar,,59800,1.863,0.3966,8.45,133.12,167.81,206.52,12.76,0.60,9.12,0.15,4.795,1.124,0.112
2001685,"  1685 Toro (1948 OA)",Toro,,59800,1.368,0.4360,9.38,274.23,127.21,63.33,14.31,,3.4,0.31,10.1995,0.771,0.0502
2001862,"  1862 Apollo (1932 HA)",Apollo,,59800,1.471,0.5600,6.35,35.56,286.05,170.73,16.11,0.09,1.5,0.25,3.065,0.647,0.0258
2001863,"  1863 Antinous (1948 EA)",Antinous,,59800,2.259,0.6059,18.40,346.42,268.08,302.06,15.44,,2.1,0.24,7.453,0.890,0.184
2001864,"  1864 Daedalus (1971 FA)",Daedalus,,59800,1.461,0.6145,22.22,6.61,325.66,307.73,14.77,,3.7,0.273,8.572,0.563,0.269
2001865,"  1865 Cerberus (1971 UA)",Cerberus,,59800,1.08,0.4670,16.10,212.89,325.28,345.84,16.79,,1.2,0.22,6.8039,0.576,0.157
2001866,"  1866 Sisyphus (1972 XA)",Sisyphus,,59800,1.893,0.5384,41.21,63.47,293.08,46.81,12.45,,8.48,0.15,2.4,0.874,0.104
2001915,"  1915 Quetzalcoatl (1953 EA)",Quetzalcoatl,,59800,2.544,0.5705,20.40,162.94,347.81,90.00,18.05,0.10,0.5,0.21,4.9,1.092,0.11
2001916,"  1916 Boreas (1953 RA)",Boreas,,59800,2.272,0.4499,12.88,340.60,335.90,49.80,14.95,,3.5,,3.4746,1.250,0.251
2001917,"  1917 Cuyo (1968 AA)",Cuyo,,59800,2.15,0.5055,23.96,188.29,194.52,144.80,14.36,,5.7,0.195,2.689,1.063,0.0729
2001943,"  1943 Anteros (1973 EC)",Anteros,,59800,1.43,0.2561,8.71,246.31,338.37,289.13,15.69,,2.3,0.17,2.86923,1.064,0.0626
2001980,"  1980 Tezcatlipoca (1950 LA)",Tezcatlipoca,,59800,1.709,0.3648,26.87,246.56,115.46,42.36,13.81,,4.3,0.25,7.24612,1.086,0.246
2001981,"  1981 Midas (1973 EA)",Midas,,59800,1.777,0.6500,39.83,356.85,267.82,285.79,15.28,,3.4,,5.22,0.622,0.00503
2002059,"  2059 Baboquivari (1963 UA)",Baboquivari,,59800,2.643,0.5316,11.02,200.69,192.43,227.75,15.98,,,,129.47,1.238,0.246
2002061,"  2061 Anza (1960 UA)",Anza,,59800,2.264,0.5361,3.80,207.37,157.04,52.01,16.48,,2.6,,6.712,1.050,0.0552
2002062,"  2062 Aten (1976 AA)",Aten,,59800,0.9669,0.1828,18.93,108.54,148.05,228.79,17.11,,1.1,0.26,42.15,0.790,0.115
2002063,"  2063 Bacchus (1977 HB)",Bacchus,,59800,1.078,0.3494,9.43,33.07,55.37,258.14,17.29,,1.024,0.203,14.904,0.701,0.0675
2002100,"  2100 Ra-Shalom (1978 RA)",Ra-Shalom,,59800,0.832,0.4366,15.76,170.79,356.08,130.68,16.35,0.12,2.3,0.13,19.797,0.469,0.15
2002101,"  2101 Adonis (1936 CA)",Adonis,,59800,1.874,0.7643,1.32,349.48,43.62,283.47,18.73,,0.6,,,0.442,0.0116
2002102,"  2102 Tantalus (1975 YA)",Tantalus,,59800,1.29,0.2993,64.00,94.36,61.53,260.13,15.97,,1.649,0.245,2.384,0.904,0.0443
2002135,"  2135 Aristaeus (1977 HA)",Aristaeus,,59800,1.599,0.5031,23.07,191.13,290.98,172.61,18.05,,,,,0.795,0.00998
2002201,"  2201 Oljato (1947 XC)",Oljato,,59800,2.175,0.7128,2.52,74.97,98.29,89.03,15.35,,1.80,0.4328,26,0.625,0.00307
2002202,"  2202 Pele (1972 RA)",Pele,,59800,2.291,0.5126,8.74,169.93,217.92,128.55,17.14,,,,,1.117,0.145
2002212,"  2212 Hephaistos (1978 SB)",Hephaistos,,59800,2.16,0.8373,11.54,27.51,209.41,297.44,13.53,,5.7,0.163,48,0.351,0.116
2002329,"  2329 Orthos (1976 WA)",Orthos,,59800,2.409,0.6539,24.48,169.27,146.08,115.22,14.56,,,,4.6473,0.834,0.0946
2002340,"  2340 Hathor (1976 UA)",Hathor,,59800,0.8438,0.4499,5.86,211.31,40.09,116.13,20.32,,0.3,,3.35,0.464,0.00682
2002368,"  2368 Beltrovata (1977 RA)",Beltrovata,,59800,2.105,0.4133,5.22,287.32,43.09,260.44,15.20,,2.3,0.27,5.9,1.235,0.233
2002608,"  2608 Seneca (1978 DA)",Seneca,,59800,2.519,0.5707,14.67,167.33,37.44,77.52,17.46,,0.9,0.21,8,1.081,0.135
2003102,"  3102 Krok (1981 QA)",Krok,,59800,2.151,0.4496,8.44,172.05,154.81,351.74,16.19,,1.6,,149.4,1.184,0.183
2003103,"  3103 Eger (1982 BB)",Eger,,59800,1.404,0.3542,20.93,129.75,254.08,190.19,15.25,,1.5,0.64,5.7103,0.907,0.0793
2003122,"  3122 Florence (1981 ET3)",Florence,,59800,1.769,0.4233,22.14,336.06,27.86,25.58,13.87,,4.9,0.231,2.3581,1.020,0.0442
2003199,"  3199 Nefertiti (1982 RA)",Nefertiti,,59800,1.575,0.2841,32.96,339.99,53.39,39.91,14.97,,2.2,0.42,3.021,1.127,0.216
2003200,"  3200 Phaethon (1983 TB)",Phaethon,,59800,1.271,0.8898,22.26,265.22,322.18,59.00,14.40,,6.25,0.1066,3.604,0.140,0.0192
2003271,"  3271 Ul (1982 RB)",Ul,,59800,2.101,0.3961,25.08,158.81,159.11,45.68,16.59,,,,,1.269,0.275
2003288,"  3288 Seleucus (1982 DV)",Seleucus,,59800,2.033,0.4563,5.93,218.62,349.28,329.28,15.35,,2.8,0.22,75,1.105,0.102
2003352,"  3352 McAuliffe (1981 CW)",McAuliffe,,59800,1.879,0.3690,4.77,107.34,16.13,41.57,15.95,,,,2.206,1.186,0.204
2003360,"  3360 Syrinx (1981 VA)",Syrinx,,59800,2.467,0.7458,21.15,242.50,63.54,206.13,16.05,,1.8,0.17,,0.627,0.107
2003361,"  3361 Orpheus (1982 HR)",Orpheus,,59800,1.21,0.3230,2.66,188.68,302.36,152.43,19.39,,0.3,0.357,3.5327,0.819,0.0141
2003362,"  3362 Khufu (1984 QA)",Khufu,,59800,0.9895,0.4686,9.92,152.43,55.05,278.85,18.52,,0.7,0.21,,0.526,0.0134
2003551,"  3551 Verenia (1983 RD)",Verenia,,59800,2.092,0.4873,9.51,173.79,193.28,302.59,16.71,,0.9,0.37,4.93,1.073,0.0743
2003552,"  3552 Don Quixote (1983 SA)","Don Quixote",,59800,4.264,0.7084,31.10,349.92,316.60,173.97,13.07,,19.0,0.03,6.665,1.244,0.337
2003553,"  3553 Mera (1985 JA)",Mera,,59800,1.645,0.3201,36.78,232.49,288.92,275.76,16.46,,,,3.1944,1.118,0.295
2003554,"  3554 Amun (1986 EB)",Amun,,59800,0.974,0.2807,23.36,358.61,359.41,126.31,15.91,,3.341,0.074,2.53001,0.701,0.252
2003671,"  3671 Dionysus (1984 KD)",Dionysus,,59800,2.199,0.5411,13.53,82.07,204.30,249.80,16.60,,1.5,0.16,2.7053,1.009,0.022
2003691,"  3691 Bede (1982 FT)",Bede,,59800,1.774,0.2841,20.36,348.74,234.89,11.69,14.81,,4.3,0.515,226.8,1.270,0.352
2003752,"  3752 Camillo (1985 PA)",Camillo,,59800,1.414,0.3015,55.56,147.96,312.22,259.63,15.26,,2.306,0.210,37.846,0.987,0.0799
2003753,"  3753 Cruithne (1986 TO)",Cruithne,,59800,0.9978,0.5150,19.80,126.21,43.87,237.63,15.52,,2.071,0.365,27.3099,0.484,0.0709
2003757,"  3757 Anagolay (1982 XB)",Anagolay,,59800,1.835,0.4455,3.87,74.93,17.22,336.45,19.05,,0.5,0.18,9.012,1.017,0.0387
2003838,"  3838 Epona (1986 WA)",Epona,,59800,1.505,0.7024,29.20,235.48,49.73,158.67,15.73,,,,2.3812,0.448,0.16
2003908,"  3908 Nyx (1980 PA)",Nyx,,59800,1.928,0.4593,2.19,261.21,126.62,231.09,17.46,,1.0,0.23,4.42601,1.042,0.0569
2003988,"  3988 Huma (1986 LA)",Huma,,59800,1.545,0.3166,10.77,229.79,86.94,265.53,17.95,,0.7,,10.4,1.056,0.178
2004015,"  4015 Wilson-Harrington (1979 VA)",Wilson-Harrington,,59800,2.625,0.6318,2.80,266.78,95.44,356.37,16.23,,4,0.05,3.5736,0.967,0.0427
2004034,"  4034 Vishnu (1986 PA)",Vishnu,,59800,1.06,0.4440,11.17,157.90,296.71,257.47,18.54,,0.42,0.52,44.4,0.589,0.0195
2004055,"  4055 Magellan (1985 DO2)",Magellan,,59800,1.82,0.3261,23.26,164.82,154.43,306.17,14.74,,2.49,0.31,7.475,1.227,0.239
2004179,"  4179 Toutatis (1989 AC)",Toutatis,,59800,2.545,0.6245,0.45,125.26,277.93,145.46,15.32,0.10,5.4,0.405,176.,0.956,0.0066
2004183,"  4183 Cuno (1959 LM)",Cuno,,59800,1.982,0.6359,6.67,294.43,236.92,253.18,14.23,,3.651,0.097,3.5595,0.722,0.0278
2004197,"  4197 Morpheus (1982 TA)",Morpheus,,59800,2.294,0.7724,12.60,7.01,122.57,130.15,15.03,,1.8,0.37,3.538,0.522,0.0985
2004257,"  4257 Ubasti (1987 QA)",Ubasti,,59800,1.647,0.4682,40.72,169.16,278.94,147.93,16.07,,,,4.4,0.876,0.171
2004341,"  4341 Poseidon (1987 KF)",Poseidon,,59800,1.834,0.6800,11.84,108.04,15.85,86.49,16.09,,3.177,0.054,6.262,0.587,0.194
2004401,"  4401 Aditi (1985 TB)",Aditi,,59800,2.583,0.5633,26.63,22.79,68.13,303.69,16.09,,1.801,0.343,6.67,1.128,0.335
2004450,"  4450 Pan (1987 SY)",Pan,,59800,1.442,0.5865,5.52,311.80,291.83,96.97,17.27,,,,56.48,0.596,0.0287
2004486,"  4486 Mithra (1987 SB)",Mithra,,59800,2.2,0.6625,3.04,82.24,168.90,275.70,15.68,,1.849,0.297,67.5,0.743,0.0462
2004487,"  4487 Pocahontas (1987 UA)",Pocahontas,,59800,1.73,0.2966,16.41,198.11,173.96,109.51,17.49,,,,,1.217,0.22
2004503,"  4503 Cleobulus (1989 WM)",Cleobulus,,59800,2.704,0.5242,2.51,45.96,76.26,110.33,15.82,,,,2.8164,1.287,0.308
2004544,"  4544 Xanthus (1989 FB)",Xanthus,,59800,1.042,0.2502,14.14,23.96,333.87,333.09,17.41,,1.3,,37.65,0.781,0.173
2004581,"  4581 Asclepius (1989 FC)",Asclepius,,59800,1.023,0.3570,4.92,180.21,255.36,169.65,20.74,,,,8.008,0.658,0.00328
2004596,"  4596 (1981 QB)",,,59800,2.24,0.5199,37.08,154.23,248.36,55.04,16.29,,,,2.49101,1.075,0.297
2004660,"  4660 Nereus (1982 DB)",Nereus,,59800,1.485,0.3588,1.45,313.14,159.53,116.27,18.67,,0.33,0.55,15.1,0.952,0.00373
2004688,"  4688 (1980 WF)",,,59800,2.232,0.5177,6.38,241.23,213.83,168.89,19.60,,0.6,0.18,,1.077,0.109
2004769,"  4769 Castalia (1989 PB)",Castalia,,59800,1.063,0.4831,8.89,325.53,121.41,324.82,17.53,,1.4,0.092,4.095,0.550,0.0205
2004947,"  4947 Ninkasi (1988 TJ1)",Ninkasi,,59800,1.37,0.1684,15.65,215.43,192.91,12.93,18.08,,,,21.1,1.139,0.151
2004953,"  4953 (1990 MU)",,,59800,1.622,0.6574,24.37,77.55,77.92,263.05,14.91,,,,14.218,0.556,0.0255
2004954,"  4954 Eric (1990 SQ)",Eric,,59800,2.002,0.4491,17.43,358.42,52.56,69.52,12.59,,10.8,0.176,12.056,1.103,0.195
2004957,"  4957 Brucemurray (1990 XJ)",Brucemurray,,59800,1.565,0.2189,35.01,254.89,97.47,107.93,14.93,,3.499,0.132,2.892,1.223,0.426
2005011,"  5011 Ptah (6743 P-L)",Ptah,,59800,1.636,0.5002,7.41,10.64,105.96,156.83,16.71,,,,56.3,0.818,0.0248
2005131,"  5131 (1990 BG)",,,59800,1.486,0.5690,36.43,110.38,135.83,282.87,14.86,,,,37.2,0.641,0.274
2005143,"  5143 Heracles (1991 VL)",Heracles,,59800,1.834,0.7724,9.03,309.48,227.82,88.41,14.13,,4.843,0.227,2.7063,0.417,0.0582
2005189,"  5189 (1990 UQ)",,,59800,1.552,0.4781,3.58,135.07,159.95,209.71,17.85,,,,6.653,0.810,0.0447
2005324,"  5324 Lyapunov (1987 SL)",Lyapunov,,59800,2.985,0.6048,19.62,352.25,321.13,308.90,15.45,,,,,1.180,0.23
2005332,"  5332 Davidaguilar (1990 DA)",Davidaguilar,,59800,2.164,0.4552,25.52,142.79,306.06,91.76,14.87,,3.6,,5.803,1.179,0.308
2005370,"  5370 Taranis (1986 RA)",Taranis,,59800,3.322,0.6371,19.17,177.80,161.34,320.40,15.24,,3.6,0.037,,1.206,0.214
2005381,"  5381 Sekhmet (1991 JY)",Sekhmet,,59800,0.9475,0.2963,48.97,58.53,37.43,64.16,16.75,,0.935,0.507,2.8233,0.667,0.113
2005496,"  5496 (1973 NA)",,,59800,2.436,0.6353,68.00,101.05,118.01,347.86,16.15,,,,2.855,0.888,0.0921
2005587,"  5587 (1990 SB)",,,59800,2.398,0.5442,18.09,189.92,86.83,251.71,13.91,,3.57,0.32,5.0522,1.093,0.308
2005590,"  5590 (1990 VA)",,,59800,0.9857,0.2795,14.19,216.28,34.49,300.12,19.91,,,,,0.710,0.122
2005604,"  5604 (1992 FE)",,,59800,0.9286,0.4061,4.72,311.90,82.65,108.78,17.39,,0.55,0.48,5.3375,0.552,0.0333
2005620,"  5620 Jasonwheeler (1990 OA)",Jasonwheeler,,59800,2.16,0.4224,7.87,128.67,153.83,43.38,17.14,,,,5.307,1.248,0.239
2005626,"  5626 Melissabrucker (1991 FE)",Melissabrucker,,59800,2.194,0.4548,3.85,173.11,231.82,317.61,14.37,,,,2.48611,1.196,0.213
2005645,"  5645 (1990 SP)",,,59800,1.355,0.3871,13.51,45.71,48.27,24.37,17.21,,1.668,0.121,30.39,0.830,0.0532
2005646,"  5646 (1990 TR)",,,59800,2.143,0.4362,7.91,14.10,335.74,63.78,15.51,,4.3,0.223,3.1999,1.208,0.211
2005653,"  5653 Camarillo (1992 WD5)",Camarillo,,59800,1.794,0.3046,6.88,9.89,122.67,95.79,16.27,,1.537,0.271,4.834,1.247,0.283
2005660,"  5660 (1974 MA)",,,59800,1.786,0.7619,38.12,302.16,127.00,27.60,15.52,,,,17.5,0.425,0.162
2005693,"  5693 (1993 EA)",,,59800,1.271,0.5853,5.06,96.99,258.96,12.60,16.75,,,,2.496,0.527,0.00562
2005731,"  5731 Zeus (1988 VP4)",Zeus,,59800,2.267,0.6520,11.20,280.63,218.39,295.20,15.64,,5.231,0.031,,0.789,0.0633
2005751,"  5751 Zao (1992 AC)",Zao,,59800,2.102,0.4252,16.07,121.64,25.51,355.44,14.91,,2.3,0.36,76,1.208,0.242
2005786,"  5786 Talos (1991 RC)",Talos,,59800,1.081,0.8270,23.24,161.30,8.37,296.46,17.22,,,,23.6,0.187,0.189
2005797,"  5797 Bivoj (1980 AA)",Bivoj,,59800,1.893,0.4443,4.19,298.93,168.66,126.70,18.89,,0.4,,2.706,1.052,0.0715
2005828,"  5828 (1991 AM)",,,59800,1.698,0.6950,30.12,125.42,152.78,61.15,16.04,,1.457,0.331,2.6666,0.518,0.398
2005836,"  5836 (1993 MF)",,,59800,2.441,0.5366,7.95,238.74,78.04,212.87,15.00,,2.754,0.156,4.9543,1.131,0.184
2005863,"  5863 Tara (1983 RB)",Tara,,59800,2.223,0.5055,19.49,168.89,115.52,288.95,15.85,,1.345,0.488,5.867,1.099,0.236
2005869,"  5869 Tanith (1988 VN4)",Tanith,,59800,1.812,0.3212,17.92,227.86,230.82,269.24,17.29,,,,17.519,1.230,0.311
2005879,"  5879 Almeria (1992 CH1)",Almeria,,59800,1.625,0.2890,21.57,145.84,355.78,262.31,17.66,,,,21.967,1.155,0.17
2006037,"  6037 (1988 EG)",,,59800,1.271,0.4995,3.50,182.36,242.18,59.68,19.00,,,,2.7602,0.636,0.0242
2006047,"  6047 (1991 TB1)",,,59800,1.454,0.3522,23.48,6.08,103.82,152.92,17.84,,,,,0.942,0.141
2006050,"  6050 Miwablock (1992 AE)",Miwablock,,59800,2.203,0.4371,6.40,88.18,284.98,152.03,15.00,,2.884,0.257,5.7566,1.240,0.269
2006053,"  6053 (1993 BW3)",,,59800,2.147,0.5285,21.58,318.25,74.89,191.43,14.92,,3.720,0.140,2.573,1.012,0.222
2006063,"  6063 Jason (1984 KB)",Jason,,59800,2.22,0.7633,4.96,169.06,337.63,221.67,16.04,,1.4,0.21,48.6,0.526,0.0761
2006178,"  6178 (1986 DA)",,,59800,2.817,0.5837,4.31,64.51,127.39,247.92,15.77,,2.3,0.15,3.5002,1.173,0.184
2006239,"  6239 Minos (1989 QF)",Minos,,59800,1.151,0.4127,3.94,344.57,239.69,306.04,18.57,,,,3.5558,0.676,0.0263
2006455,"  6455 (1992 HE)",,,59800,2.241,0.5723,37.34,26.90,262.82,354.84,14.00,,4.626,0.227,2.7361,0.958,0.291
2006456,"  6456 Golombek (1992 OM)",Golombek,,59800,2.192,0.4094,8.23,313.57,347.14,92.14,16.00,,,,2.50129,1.295,0.281
2006489,"  6489 Golevka (1991 JX)",Golevka,,59800,2.486,0.6124,2.27,209.48,68.67,310.84,19.22,,0.53,0.151,6.026,0.963,0.025
2006491,"  6491 (1991 OA)",,,59800,2.501,0.5904,5.95,301.90,323.64,303.71,18.74,,,,2.69,1.025,0.043
2006569,"  6569 Ondaatje (1993 MO)",Ondaatje,,59800,1.626,0.2206,22.64,111.48,167.34,8.79,16.68,,,,5.295,1.267,0.255
2006611,"  6611 (1993 VW)",,,59800,1.696,0.4847,8.70,230.77,281.63,317.99,16.91,,1.408,0.158,2.5568,0.874,0.0604
2007025,"  7025 (1993 QA)",,,59800,1.476,0.3149,12.61,146.61,323.45,294.93,18.10,,0.498,0.340,2.5057,1.011,0.0643
2007088,"  7088 Ishtar (1992 AA)",Ishtar,,59800,1.981,0.3898,8.30,102.62,354.76,349.05,16.84,,1.298,0.260,2.679,1.209,0.227
2007092,"  7092 Cadmus (1992 LC)",Cadmus,,59800,2.542,0.6953,17.77,56.92,94.69,196.25,15.13,,6.319,0.046,,0.775,0.0987
2007236,"  7236 (1987 PA)",,,59800,2.725,0.5591,16.33,308.51,337.93,291.82,18.30,,,,,1.201,0.202
2007335,"  7335 (1989 JA)",,,59800,1.772,0.4846,15.17,61.28,232.32,14.77,17.76,,1.8,0.448,12,0.913,0.0223
2007336,"  7336 Saunders (1989 RS1)",Saunders,,59800,2.306,0.4817,7.20,174.47,181.50,140.67,18.80,,,,4.307,1.195,0.191
2007341,"  7341 (1991 VK)",,,59800,1.841,0.5059,5.41,294.74,173.50,82.25,16.97,,0.982,0.235,4.2096,0.910,0.047
2007350,"  7350 (1993 VA)",,,59800,1.356,0.3910,7.26,133.11,336.67,44.38,17.29,,1.921,0.069,3.58264,0.826,0.0801
2007358,"  7358 Oze (1995 YA3)",Oze,,59800,2.199,0.5023,4.66,265.46,92.23,110.03,14.76,,,,5.433,1.094,0.124
2007474,"  7474 (1992 TC)",,,59800,1.566,0.2923,7.09,88.61,275.62,87.09,18.00,,,,5.54,1.108,0.168
2007480,"  7480 Norwan (1994 PC)",Norwan,,59800,1.568,0.3170,9.45,124.38,256.83,56.57,17.23,,,,35.9,1.071,0.161
2007482,"  7482 (1994 PC1)",,,59800,1.349,0.3295,33.47,117.87,47.48,103.13,16.65,,1.052,0.277,2.5999,0.904,0.000769
2007753,"  7753 (1988 XB)",,,59800,1.467,0.4817,3.12,73.39,280.06,12.16,18.02,,,,42.2,0.760,0.0067
2007822,"  7822 (1991 CS)",,,59800,1.123,0.1646,37.12,156.85,249.45,239.53,17.31,,1.602,0.075,2.3896,0.938,0.0225
2007839,"  7839 (1994 ND)",,,59800,2.166,0.5187,27.11,102.52,228.33,280.43,17.80,,0.784,0.181,,1.042,0.136
2007888,"  7888 (1993 UC)",,,59800,2.436,0.6635,26.09,165.90,323.06,176.80,15.19,,2.298,0.257,2.337,0.820,0.0864
2007889,"  7889 (1994 LX)",,,59800,1.262,0.3463,36.91,111.27,349.18,140.64,15.16,,1.680,0.452,2.741,0.825,0.153
2007977,"  7977 (1977 QQ5)",,,59800,2.226,0.4662,25.16,134.15,248.06,175.94,15.17,,,,7.456,1.188,0.356
2008013,"  8013 Gordonmoore (1990 KA)",Gordonmoore,,59800,2.2,0.4313,7.57,105.56,146.74,309.81,17.10,,2.3,,8.4,1.251,0.248
2008014,"  8014 (1990 MF)",,,59800,1.747,0.4562,1.87,209.84,114.76,309.97,18.88,,0.7,,50.09,0.950,0.0169
2008034,"  8034 Akka (1992 LR)",Akka,,59800,1.83,0.4092,2.02,232.83,68.23,46.45,18.01,,,,7.283,1.081,0.0735
2008035,"  8035 (1992 TB)",,,59800,1.342,0.4625,28.31,185.63,6.09,226.57,17.15,,,,,0.721,0.272
2008037,"  8037 (1993 HO1)",,,59800,1.986,0.4180,5.91,22.39,105.74,209.88,16.63,,,,12.98,1.156,0.202
2008176,"  8176 (1991 WA)",,,59800,1.575,0.6431,39.59,66.51,241.90,221.84,17.04,,,,7.111,0.562,0.193
2008201,"  8201 (1994 AH2)",,,59800,2.538,0.7068,9.55,164.10,25.11,4.49,15.95,,1.859,0.154,23.949,0.744,0.101
2008507,"  8507 (1991 CB1)",,,59800,1.687,0.5946,14.59,317.41,345.79,9.54,17.36,,,,,0.684,0.22
2008566,"  8566 (1996 EN)",,,59800,1.506,0.4303,37.98,164.12,125.16,23.57,16.38,,1.568,0.217,4.849,0.858,0.0216
2008567,"  8567 (1996 HW1)",,,59800,2.045,0.4495,8.45,177.10,177.30,269.95,15.35,,2.928,0.156,8.7573,1.126,0.121
2008709,"  8709 Kadlu (1994 JF1)",Kadlu,,59800,2.529,0.4889,3.52,119.24,153.62,346.44,17.08,,,,50.6,1.293,0.278
2009058,"  9058 (1992 JB)",,,59800,1.557,0.3596,16.09,218.30,307.08,238.86,18.01,,,,,0.997,0.0854
2009162,"  9162 Kwiila (1987 OA)",Kwiila,,59800,1.497,0.5955,9.01,180.02,235.79,6.68,18.03,,1.127,0.088,15.13,0.605,0.0811
2009172,"  9172 Abhramu (1989 OB)",Abhramu,,59800,2.709,0.5530,7.84,287.64,74.07,141.72,16.65,,,,,1.211,0.252
2009202,"  9202 (1993 PB)",,,59800,1.424,0.6078,40.82,315.92,212.34,120.96,16.08,,1.617,0.332,,0.558,0.372
2009400,"  9400 (1994 TW1)",,,59800,2.587,0.5806,36.00,3.36,62.13,221.73,14.86,,3.698,0.155,97.1,1.085,0.285
2009856,"  9856 (1991 EE)",,,59800,2.242,0.6259,9.83,168.10,116.22,79.64,17.05,,1.0,0.3,3.045,0.839,0.0221
2009950,"  9950 ESA (1990 VB)",ESA,,59800,2.438,0.5330,14.59,253.49,103.53,124.10,16.21,,,,6.712,1.139,0.28
2010115," 10115 (1992 SK)",,,59800,1.248,0.3248,15.32,8.90,233.65,239.34,17.16,,0.938,0.318,7.319,0.843,0.0451
2010145," 10145 (1994 CK1)",,,59800,1.901,0.6329,4.55,328.40,27.40,47.62,16.98,,,,49.2892,0.698,0.0628
2010150," 10150 (1994 PN)",,,59800,2.375,0.5440,45.95,112.99,234.01,212.32,15.48,,,,2.965,1.083,0.226
2010165," 10165 (1995 BL2)",,,59800,1.235,0.5037,23.90,312.44,348.46,236.96,17.43,,0.829,0.372,,0.613,0.376
2010302," 10302 (1989 ML)",,,59800,1.273,0.1368,4.38,104.30,183.57,17.89,19.47,,,,19.164,1.099,0.082
2010563," 10563 Izhdubar (1993 WD)",Izhdubar,,59800,1.007,0.2663,63.46,56.56,132.19,46.35,16.94,,,,,0.739,0.146
2010636," 10636 (1998 QK56)",,,59800,1.885,0.5125,13.58,172.94,286.32,54.40,17.70,,0.533,0.645,9.876,0.919,0.112
2010860," 10860 (1995 LE)",,,59800,2.578,0.5745,4.15,257.25,75.46,186.01,17.32,,,,,1.097,0.113
2011054," 11054 (1991 FA)",,,59800,1.979,0.4464,3.08,339.07,92.32,150.83,17.08,,,,2.57223,1.096,0.124
2011066," 11066 Sigurd (1992 CC1)",Sigurd,,59800,1.391,0.3755,36.88,349.23,22.01,314.85,15.25,,2.104,0.190,8.4958,0.869,0.118
2011284," 11284 Belenus (1990 BA)",Belenus,,59800,1.74,0.3374,1.99,311.74,171.16,60.80,18.26,,,,5.43,1.153,0.17
2011311," 11311 Peleus (1993 XN2)",Peleus,,59800,2.117,0.5359,25.49,59.33,313.40,130.62,15.91,,,,,0.983,0.0965
2011398," 11398 (1998 YP11)",,,59800,1.721,0.3889,15.02,144.78,74.71,117.70,16.41,,1.316,0.318,38.6,1.052,0.204
2011405," 11405 (1999 CV3)",,,59800,1.46,0.3937,22.86,141.28,96.37,66.74,15.29,,3.621,0.112,6.504,0.885,0.119
2011500," 11500 Tomaiyowit (1989 UR)",Tomaiyowit,,59800,1.08,0.3560,10.31,234.40,289.52,340.92,18.37,,0.738,0.142,73,0.695,0.0348
2011885," 11885 Summanus (1990 SS)",Summanus,,59800,1.703,0.4744,19.43,359.79,116.23,64.58,18.52,,1.298,0.033,7.368,0.895,0.0681
2012538," 12538 (1998 OH)",,,59800,1.542,0.4062,24.54,220.70,321.79,265.07,15.89,,1.663,0.232,2.575,0.915,0.0288
2012711," 12711 Tukmit (1991 BB)",Tukmit,,59800,1.186,0.2721,38.49,294.98,322.87,41.02,16.01,,,,3.4848,0.864,0.111
2012923," 12923 Zephyr (1999 GK4)",Zephyr,,59800,1.962,0.4922,5.31,168.18,147.11,124.80,15.82,,2.060,0.199,3.891,0.996,0.0212
2013553," 13553 Masaakikoyama (1992 JE)",Masaakikoyama,,59800,2.188,0.4642,5.88,193.46,109.98,89.65,16.54,,,,58.,1.173,0.188
2013651," 13651 (1997 BR)",,,59800,1.336,0.3056,17.25,116.66,133.82,111.79,17.92,,0.562,0.511,33.644,0.927,0.0143
2014402," 14402 (1991 DB)",,,59800,1.715,0.4021,11.42,158.22,51.34,334.62,18.78,,0.6,0.14,2.261,1.025,0.103
2014827," 14827 Hypnos (1986 JK)",Hypnos,,59800,2.843,0.6657,1.98,57.94,238.18,217.17,18.87,,0.9,,,0.950,0.0149
